context,strategy,repetition,qid,status,predicted,gold,ready_s
long,batch,1,coordinator,correct,lyn,lyn,0.36934970899999975
long,batch,1,gate,correct,indigo,indigo,0.36934970899999975
long,batch,1,backup,correct,disabled,disabled,0.36934970899999975
long,batch,1,departure,correct,thursday,thursday,0.36934970899999975
long,batch,1,rover,correct,kestrel,kestrel,0.36934970899999975
long,batch,1,sample,correct,quartz,quartz,0.36934970899999975
long,batch,1,operator,correct,ivo,ivo,0.36934970899999975
long,batch,1,slot,correct,s3,s3,0.36934970899999975
long,batch,2,coordinator,correct,lyn,lyn,0.3489566249999996
long,batch,2,gate,correct,indigo,indigo,0.3489566249999996
long,batch,2,backup,correct,disabled,disabled,0.3489566249999996
long,batch,2,departure,correct,thursday,thursday,0.3489566249999996
long,batch,2,rover,correct,kestrel,kestrel,0.3489566249999996
long,batch,2,sample,correct,quartz,quartz,0.3489566249999996
long,batch,2,operator,correct,ivo,ivo,0.3489566249999996
long,batch,2,slot,correct,s3,s3,0.3489566249999996
long,batch,3,coordinator,correct,lyn,lyn,0.3245752919999987
long,batch,3,gate,correct,indigo,indigo,0.3245752919999987
long,batch,3,backup,correct,disabled,disabled,0.3245752919999987
long,batch,3,departure,correct,thursday,thursday,0.3245752919999987
long,batch,3,rover,correct,kestrel,kestrel,0.3245752919999987
long,batch,3,sample,correct,quartz,quartz,0.3245752919999987
long,batch,3,operator,correct,ivo,ivo,0.3245752919999987
long,batch,3,slot,correct,s3,s3,0.3245752919999987
long,concurrency4,1,coordinator,correct,lyn,lyn,0.3843962920000008
long,concurrency4,1,gate,correct,indigo,indigo,0.29351383300000045
long,concurrency4,1,backup,correct,disabled,disabled,0.36554650000000066
long,concurrency4,1,departure,correct,thursday,thursday,0.3056908330000008
long,concurrency4,1,rover,correct,kestrel,kestrel,0.7495337080000004
long,concurrency4,1,sample,correct,quartz,quartz,0.6321600000000007
long,concurrency4,1,operator,correct,ivo,ivo,0.7297176250000001
long,concurrency4,1,slot,correct,s3,s3,0.7159051670000007
long,concurrency4,2,coordinator,correct,lyn,lyn,0.36096070900000043
long,concurrency4,2,gate,correct,indigo,indigo,0.31465862499999986
long,concurrency4,2,backup,correct,disabled,disabled,0.32866679199999993
long,concurrency4,2,departure,correct,thursday,thursday,0.3725682920000004
long,concurrency4,2,rover,correct,kestrel,kestrel,0.6469188339999992
long,concurrency4,2,sample,correct,quartz,quartz,0.6475433339999999
long,concurrency4,2,operator,correct,ivo,ivo,0.7219060000000006
long,concurrency4,2,slot,correct,s3,s3,0.7138815839999992
long,concurrency4,3,coordinator,correct,lyn,lyn,0.40429862499999913
long,concurrency4,3,gate,correct,indigo,indigo,0.3309074999999986
long,concurrency4,3,backup,correct,disabled,disabled,0.4145786670000007
long,concurrency4,3,departure,correct,thursday,thursday,0.28767124999999893
long,concurrency4,3,rover,correct,kestrel,kestrel,0.6105660419999985
long,concurrency4,3,sample,correct,quartz,quartz,0.6200708749999997
long,concurrency4,3,operator,correct,ivo,ivo,0.7490541250000007
long,concurrency4,3,slot,correct,s3,s3,0.7794571670000003
long,serial,1,coordinator,correct,lyn,lyn,0.31254912499999987
long,serial,1,gate,correct,indigo,indigo,0.6302408329999998
long,serial,1,backup,correct,disabled,disabled,0.9387366250000002
long,serial,1,departure,correct,thursday,thursday,1.2711889170000004
long,serial,1,rover,correct,kestrel,kestrel,1.5694076249999998
long,serial,1,sample,correct,quartz,quartz,1.9395245830000003
long,serial,1,operator,correct,ivo,ivo,2.287950042
long,serial,1,slot,correct,s3,s3,2.5863775419999997
long,serial,2,coordinator,correct,lyn,lyn,0.3783347079999988
long,serial,2,gate,correct,indigo,indigo,0.7288969170000001
long,serial,2,backup,correct,disabled,disabled,1.0782317499999987
long,serial,2,departure,correct,thursday,thursday,1.3847880830000001
long,serial,2,rover,correct,kestrel,kestrel,1.733127542
long,serial,2,sample,correct,quartz,quartz,2.016960458
long,serial,2,operator,correct,ivo,ivo,2.337843124999999
long,serial,2,slot,correct,s3,s3,2.6349276669999995
long,serial,3,coordinator,correct,lyn,lyn,0.3575155420000016
long,serial,3,gate,correct,indigo,indigo,0.6619183339999992
long,serial,3,backup,correct,disabled,disabled,1.0015115839999993
long,serial,3,departure,correct,thursday,thursday,1.3462125
long,serial,3,rover,correct,kestrel,kestrel,1.6247430419999986
long,serial,3,sample,correct,quartz,quartz,1.9350116250000013
long,serial,3,operator,correct,ivo,ivo,2.2482791669999997
long,serial,3,slot,correct,s3,s3,2.5505366669999994
short,batch,1,coordinator,correct,lyn,lyn,0.322178709
short,batch,1,gate,correct,indigo,indigo,0.322178709
short,batch,1,backup,correct,disabled,disabled,0.322178709
short,batch,1,departure,correct,thursday,thursday,0.322178709
short,batch,1,rover,correct,kestrel,kestrel,0.322178709
short,batch,1,sample,correct,quartz,quartz,0.322178709
short,batch,1,operator,correct,ivo,ivo,0.322178709
short,batch,1,slot,correct,s3,s3,0.322178709
short,batch,2,coordinator,correct,lyn,lyn,0.3509879170000012
short,batch,2,gate,correct,indigo,indigo,0.3509879170000012
short,batch,2,backup,correct,disabled,disabled,0.3509879170000012
short,batch,2,departure,correct,thursday,thursday,0.3509879170000012
short,batch,2,rover,correct,kestrel,kestrel,0.3509879170000012
short,batch,2,sample,correct,quartz,quartz,0.3509879170000012
short,batch,2,operator,correct,ivo,ivo,0.3509879170000012
short,batch,2,slot,correct,s3,s3,0.3509879170000012
short,batch,3,coordinator,correct,lyn,lyn,0.31330079099999963
short,batch,3,gate,correct,indigo,indigo,0.31330079099999963
short,batch,3,backup,correct,disabled,disabled,0.31330079099999963
short,batch,3,departure,correct,thursday,thursday,0.31330079099999963
short,batch,3,rover,correct,kestrel,kestrel,0.31330079099999963
short,batch,3,sample,correct,quartz,quartz,0.31330079099999963
short,batch,3,operator,correct,ivo,ivo,0.31330079099999963
short,batch,3,slot,correct,s3,s3,0.31330079099999963
short,concurrency4,1,coordinator,correct,lyn,lyn,0.3605860000000001
short,concurrency4,1,gate,correct,indigo,indigo,0.31945920900000013
short,concurrency4,1,backup,correct,disabled,disabled,0.324234084
short,concurrency4,1,departure,correct,thursday,thursday,0.308104417
short,concurrency4,1,rover,correct,kestrel,kestrel,0.617335084
short,concurrency4,1,sample,correct,quartz,quartz,0.618495292
short,concurrency4,1,operator,correct,ivo,ivo,0.6017846250000001
short,concurrency4,1,slot,correct,s3,s3,0.6254511250000001
short,concurrency4,2,coordinator,correct,lyn,lyn,0.297087458
short,concurrency4,2,gate,correct,indigo,indigo,0.3137033330000003
short,concurrency4,2,backup,correct,disabled,disabled,0.3919114160000001
short,concurrency4,2,departure,correct,thursday,thursday,0.27581587500000015
short,concurrency4,2,rover,correct,kestrel,kestrel,0.6033884160000005
short,concurrency4,2,sample,correct,quartz,quartz,0.5672830830000004
short,concurrency4,2,operator,correct,ivo,ivo,0.6679102910000001
short,concurrency4,2,slot,correct,s3,s3,0.7313578330000006
short,concurrency4,3,coordinator,correct,lyn,lyn,0.3236971670000024
short,concurrency4,3,gate,correct,indigo,indigo,0.32421375000000197
short,concurrency4,3,backup,correct,disabled,disabled,0.3104848330000003
