attempt_slot,context,strategy,repetition,qids,wall_start_utc,wall_end_utc,call_latency_s,ready_offset_s,status,response_model,input_tokens,output_tokens
1,short,batch,1,coordinator;gate;backup;departure;rover;sample;operator;slot,2026-09-20T01:45:27.914519+00:00,2026-09-20T01:45:28.235510+00:00,0.320930167,0.322178709,ok,jev-1.13.0,1484,392
2,short,serial,1,coordinator,2026-09-20T01:45:28.236414+00:00,2026-09-20T01:45:28.545186+00:00,0.308643875,0.308843792,ok,jev-1.13.0,746,49
3,short,serial,1,gate,2026-09-20T01:45:28.545737+00:00,2026-09-20T01:45:28.903076+00:00,0.35720054200000007,0.6667191250000001,ok,jev-1.13.0,751,48
4,short,serial,1,backup,2026-09-20T01:45:28.903656+00:00,2026-09-20T01:45:29.206963+00:00,0.30317066700000006,0.970615042,ok,jev-1.13.0,733,38
5,short,serial,1,departure,2026-09-20T01:45:29.207550+00:00,2026-09-20T01:45:29.543404+00:00,0.3357468750000001,1.307077208,ok,jev-1.13.0,749,53
6,short,serial,1,rover,2026-09-20T01:45:29.543943+00:00,2026-09-20T01:45:29.835059+00:00,0.29096966699999993,1.5986898749999998,ok,jev-1.13.0,775,59
7,short,serial,1,sample,2026-09-20T01:45:29.835668+00:00,2026-09-20T01:45:30.194043+00:00,0.35821770900000005,1.957677667,ok,jev-1.13.0,770,56
8,short,serial,1,operator,2026-09-20T01:45:30.194563+00:00,2026-09-20T01:45:30.490553+00:00,0.2958501670000002,2.254212292,ok,jev-1.13.0,764,53
9,short,serial,1,slot,2026-09-20T01:45:30.491085+00:00,2026-09-20T01:45:30.812830+00:00,0.3215874170000004,2.57646575,ok,jev-1.13.0,767,57
13,short,concurrency4,1,departure,2026-09-20T01:45:30.821581+00:00,2026-09-20T01:45:31.121819+00:00,0.29993408300000013,0.308104417,ok,jev-1.13.0,749,53
11,short,concurrency4,1,gate,2026-09-20T01:45:30.816344+00:00,2026-09-20T01:45:31.133154+00:00,0.31649445899999984,0.31945920900000013,ok,jev-1.13.0,751,48
12,short,concurrency4,1,backup,2026-09-20T01:45:30.819004+00:00,2026-09-20T01:45:31.137887+00:00,0.3186178339999999,0.324234084,ok,jev-1.13.0,733,38
10,short,concurrency4,1,coordinator,2026-09-20T01:45:30.813802+00:00,2026-09-20T01:45:31.174255+00:00,0.36036995800000016,0.3605860000000001,ok,jev-1.13.0,746,49
16,short,concurrency4,1,operator,2026-09-20T01:45:31.149047+00:00,2026-09-20T01:45:31.415471+00:00,0.266215125,0.6017846250000001,ok,jev-1.13.0,764,53
14,short,concurrency4,1,rover,2026-09-20T01:45:31.130473+00:00,2026-09-20T01:45:31.430999+00:00,0.30038041699999996,0.617335084,ok,jev-1.13.0,775,59
15,short,concurrency4,1,sample,2026-09-20T01:45:31.147180+00:00,2026-09-20T01:45:31.432151+00:00,0.28491320799999986,0.618495292,ok,jev-1.13.0,770,56
17,short,concurrency4,1,slot,2026-09-20T01:45:31.183604+00:00,2026-09-20T01:45:31.439108+00:00,0.25545070800000014,0.6254511250000001,ok,jev-1.13.0,767,57
18,long,serial,1,coordinator,2026-09-20T01:45:31.439577+00:00,2026-09-20T01:45:31.752075+00:00,0.31236874999999964,0.31254912499999987,ok,jev-1.13.0,3474,49
19,long,serial,1,gate,2026-09-20T01:45:31.752646+00:00,2026-09-20T01:45:32.069766+00:00,0.3169520829999999,0.6302408329999998,ok,jev-1.13.0,3479,48
20,long,serial,1,backup,2026-09-20T01:45:32.070384+00:00,2026-09-20T01:45:32.378303+00:00,0.30771795800000046,0.9387366250000002,ok,jev-1.13.0,3461,38
21,long,serial,1,departure,2026-09-20T01:45:32.378916+00:00,2026-09-20T01:45:32.710743+00:00,0.3316410420000002,1.2711889170000004,ok,jev-1.13.0,3477,53
22,long,serial,1,rover,2026-09-20T01:45:32.711333+00:00,2026-09-20T01:45:33.008946+00:00,0.29745016700000004,1.5694076249999998,ok,jev-1.13.0,3503,59
23,long,serial,1,sample,2026-09-20T01:45:33.009588+00:00,2026-09-20T01:45:33.379096+00:00,0.36927395799999996,1.9395245830000003,ok,jev-1.13.0,3498,56
24,long,serial,1,operator,2026-09-20T01:45:33.379693+00:00,2026-09-20T01:45:33.727499+00:00,0.34763279199999975,2.287950042,ok,jev-1.13.0,3492,53
25,long,serial,1,slot,2026-09-20T01:45:33.728051+00:00,2026-09-20T01:45:34.025932+00:00,0.2977129999999999,2.5863775419999997,ok,jev-1.13.0,3495,57
27,long,concurrency4,1,gate,2026-09-20T01:45:34.031102+00:00,2026-09-20T01:45:34.321227+00:00,0.2897285409999997,0.29351383300000045,ok,jev-1.13.0,3479,48
29,long,concurrency4,1,departure,2026-09-20T01:45:34.036082+00:00,2026-09-20T01:45:34.333365+00:00,0.2969829580000001,0.3056908330000008,ok,jev-1.13.0,3477,53
