context,strategy,repetition,wall_start_utc,wall_end_utc,makespan_s,peak_workers,calls
short,batch,1,2026-09-20T01:45:27.913305+00:00,2026-09-20T01:45:28.236009+00:00,0.322707459,1,1
short,serial,1,2026-09-20T01:45:28.236277+00:00,2026-09-20T01:45:30.813215+00:00,2.5769140829999997,1,8
short,concurrency4,1,2026-09-20T01:45:30.813648+00:00,2026-09-20T01:45:31.439201+00:00,0.6255493750000003,4,8
long,serial,1,2026-09-20T01:45:31.439484+00:00,2026-09-20T01:45:34.026499+00:00,2.5869904580000003,1,8
long,concurrency4,1,2026-09-20T01:45:34.027668+00:00,2026-09-20T01:45:34.777374+00:00,0.749702708,4,8
long,batch,1,2026-09-20T01:45:34.778093+00:00,2026-09-20T01:45:35.148095+00:00,0.3700044999999994,1,1
short,concurrency4,2,2026-09-20T01:45:35.148352+00:00,2026-09-20T01:45:35.879930+00:00,0.7315753750000002,4,8
short,serial,2,2026-09-20T01:45:35.880421+00:00,2026-09-20T01:45:38.690969+00:00,2.810521166999999,1,8
short,batch,2,2026-09-20T01:45:38.691443+00:00,2026-09-20T01:45:39.042973+00:00,0.35153208400000047,1,1
long,batch,2,2026-09-20T01:45:39.043183+00:00,2026-09-20T01:45:39.392809+00:00,0.349628083999999,1,1
long,concurrency4,2,2026-09-20T01:45:39.393088+00:00,2026-09-20T01:45:40.115135+00:00,0.7220431250000008,4,8
long,serial,2,2026-09-20T01:45:40.115969+00:00,2026-09-20T01:45:42.751478+00:00,2.6354848329999996,1,8
short,serial,3,2026-09-20T01:45:42.752674+00:00,2026-09-20T01:45:45.404029+00:00,2.6513294170000012,1,8
short,batch,3,2026-09-20T01:45:45.404516+00:00,2026-09-20T01:45:45.718419+00:00,0.31390583299999975,1,1
short,concurrency4,3,2026-09-20T01:45:45.718640+00:00,2026-09-20T01:45:46.344136+00:00,0.6254927500000029,4,8
long,concurrency4,3,2026-09-20T01:45:46.344426+00:00,2026-09-20T01:45:47.124178+00:00,0.7797485829999999,4,8
long,batch,3,2026-09-20T01:45:47.125143+00:00,2026-09-20T01:45:47.450363+00:00,0.32522141699999807,1,1
long,serial,3,2026-09-20T01:45:47.450655+00:00,2026-09-20T01:45:50.001798+00:00,2.5511182920000017,1,8
